comment,commentNUM,name,rate
生命不止，摇滚不死。,168072人评价,海盗电台,8.6
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,159288人评价,房间,8.8
想你时你在闹海。,82828人评价,哪吒闹海,8.9
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,51865人评价,东京物语,9.2
没有了退路，只好飞向自由。,107211人评价,末路狂花,8.7
天使暂时离开。,109128人评价,绿里奇迹,8.7
沉醉在电影的情感和视听氛围中无法自拔。,148857人评价,请以你的名字呼唤我,8.8
少见的超越首部的续集，动作片中的经典。,144393人评价,终结者2：审判日,8.6
类型片的极致。 ,144914人评价,勇闯夺命岛,8.5
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,417486人评价,源代码,8.3
科幻真正的魅力不是视觉效果能取代的。 ,185792人评价,这个男人来自地球,8.5
嬉笑怒骂，调风动月。,188335人评价,新龙门客栈,8.5
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,159695人评价,黑客帝国3：矩阵革命,8.5
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,261782人评价,模仿游戏,8.5
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,127387人评价,卡萨布兰卡,8.6
出门必备：本草纲目。,130241人评价,荒野生存,8.6
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,218747人评价,变脸,8.4
永远的小人物，伟大的卓别林。,45227人评价,城市之光,9.2
最美的飞翔。,52516人评价,迁徙的鸟,9.1
生病的E.T.皮肤的颜色就像柿子饼。,156209人评价,E.T. 外星人,8.5
我完全康复了。,189328人评价,发条橙,8.4
每个人的内心都是深不可测的大海。 ,189173人评价,美国丽人,8.4
昆汀同学越来越变态了，比北野武还杜琪峰。,227782人评价,无耻混蛋,8.4
最棒的西部片。,52391人评价,黄金三镖客,9.1
黑小鸭速效美白记。,471378人评价,初恋这件小事,8.3
惠及一生的美丽。,120695人评价,一个叫欧维的男人决定去死,8.7
"In memory, love lives forever...",176612人评价,英国病人,8.4
现实与童话交相辉映的旅程。,109235人评价,燕尾蝶,8.6
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,478293人评价,你的名字。,8.4
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,118927人评价,爱在午夜降临前,8.8
我不信仰上帝，但我敬畏上帝。,118657人评价,非常嫌疑犯,8.6
乐观比一切都有力量。,110704人评价,叫我第一名,8.6
